word,average
bret,4.89453125
ingrown,4.895133972167969
trout,4.895591609129588
chopstick,4.896381392900867
roger,4.896725901017106
pew,4.896906614303589
affordable,4.896968692495541
gratis,4.8971906278748065
stopper,4.897653579711914
flyer,4.897732974812651
cuttlefish,4.8980712890625
agua,4.898305745785848
mover,4.898904517117851
elk,4.8990164268489735
dog,4.899220457044569
offer,4.899251240103815
sign,4.899282281959843
immigrant,4.89935302734375
intermediate,4.8994140625
creative,4.899891786155498
excel,4.900070999384607
singh,4.900390625
lovingly,4.901024758408312
dew,4.901142956834519
heartbeat,4.901330272943511
screening,4.901440157289471
craze,4.901680156947477
taffy,4.901937484741211
maestro,4.902099609375
duck,4.902152387823583
mag,4.9023218043003
hale,4.902397155761719
berlin,4.902428671717644
formation,4.902706623077393
ko,4.9033203125
decide,4.9041603704495955
talker,4.9041748046875
holistic,4.904277672991157
breakfast,4.904692594645706
heavenly,4.905090328489598
kafta,4.9056396484375
answer,4.9056484389921895
sicilian,4.905669153664718
cooky,4.9057230470714845
sumptuous,4.905853748321533
punctual,4.906005799697422
chef,4.906199386974373
flores,4.90625
paolo,4.90625
dermatology,4.90625
stilt,4.90716552734375
frolic,4.90771484375
sensitive,4.90824003653648
decorator,4.908412843942642
notion,4.9087676518889864
courthouse,4.908866882324219
momo,4.9091796875
guilt,4.909205053186788
authentic,4.909323202198934
happiness,4.909366482283067
beer,4.90958494453681
spot,4.909997722093506
timeless,4.910888671875
delectably,4.9111328125
tenderness,4.911467893382039
monster,4.911543735880084
insert,4.911665001097226
refresh,4.911667969193297
meaty,4.911941601401826
nag,4.912109375
soul,4.912222557775744
flatter,4.912309691309929
brew,4.912319631001323
hormone,4.912416493054479
coaster,4.9124839803239215
mojo,4.912649335494093
trail,4.912696725084568
delightfully,4.912712544112105
executive,4.912715216532556
finishing,4.912905822320681
underlie,4.9130859375
home,4.913327990490831
swift,4.914543684562531
feast,4.914868241899698
pam,4.914965563919395
smore,4.915048599243164
unrealistic,4.915297508239746
cornucopia,4.9154052734375
glossy,4.91562145203352
bouillabaisse,4.91648668050766
geek,4.916857908310984
capitalize,4.917057037353516
enthusiastic,4.917833061718495
transportation,4.917902925930414
wind,4.9189155449672395
peppy,4.919219970703125
canon,4.9193115234375
blown,4.91931911660282
homeowner,4.919544696807861
effortlessly,4.9196624755859375
strategically,4.919772491557524
magnificent,4.919906359150242
kindergarten,4.920135498046875
truth,4.920382214866619
analysis,4.920538425445557
aesthetician,4.9206746546551585
wondrous,4.9208984375
therapist,4.921382128995442
yr,4.921635396587854
suspension,4.9217529296875
exceptional,4.922438540724638
climb,4.922445651079482
hick,4.9228515625
win,4.923714380408368
loan,4.923807705452289
anesthesia,4.92431640625
responsive,4.924489373544672
rare,4.92477403606129
fringe,4.925161973169907
goodness,4.925162217578276
legendary,4.925449035451951
convenient,4.92555029307419
capital,4.925579534488523
belvedere,4.9256591796875
bow,4.925681863755681
vendor,4.926520912338246
rural,4.926525003239476
laser,4.926894726078096
bachelor,4.92696709796971
morocco,4.927001953125
jess,4.92724609375
towner,4.9276717117711
pretentiousness,4.927715375938533
sample,4.927954386796813
independent,4.928417328499359
endurance,4.928466796875
gamut,4.928829193115234
oodles,4.929105758666992
piano,4.929179650182715
goody,4.929373004681757
charismatic,4.929470017552376
cholla,4.9296875
civic,4.929815146577312
lifelong,4.9300994873046875
law,4.930623999400771
oddity,4.930692654394079
yummy,4.930721249126974
waterfall,4.931033655054031
penny,4.931608433336573
straightforward,4.93163479009416
informative,4.93163680866928
informational,4.931640625
regular,4.931887476977048
privilege,4.932063422637377
excellence,4.932091775983
beautifully,4.932467933087507
sophisticate,4.9324951171875
pacific,4.9325707753625485
soho,4.933069752994925
unmatched,4.933070658851648
helmet,4.933189250815843
nestle,4.9333361702130265
effortless,4.933460235595703
ease,4.933529257768889
massager,4.93359375
quiet,4.9337284750263795
grouper,4.934260523252306
tartar,4.934330536529168
revive,4.934426009654999
ray,4.9344838190842655
steven,4.934491357571915
uninitiated,4.934535980224609
putt,4.934719085693359
dialogue,4.934805393218994
v,4.934921631051432
kindness,4.935302493133102
detail,4.935416838560625
upkeep,4.935557851262274
thee,4.9361493480512095
barber,4.9364011285299405
eyeball,4.936454093363523
removal,4.9365080161253605
dutch,4.937010996200893
masterpiece,4.937314985784934
installation,4.937316352148377
locksmith,4.937437057495117
install,4.937464608517265
brake,4.9374686427317185
reminisce,4.939391851425171
learning,4.939546465472878
delighted,4.939620289798255
wax,4.940414189357284
changer,4.940818760544062
certify,4.9413269148008006
seventh,4.941619873046875
magically,4.9422567029031965
blind,4.9425199737061885
artistry,4.942613586783409
supportive,4.9438447642314145
unto,4.944549560546875
nirvana,4.944696303802035
blemish,4.94476318359375
acquaint,4.944862723350525
railroad,4.944863677024841
hydrate,4.94496718349971
catwalk,4.9453125
tikka,4.9459374429734835
tennis,4.946664451246652
nationwide,4.947144258854678
velvety,4.947236336020467
whether,4.947270045044588
dealt,4.94740503596756
stressful,4.947437762046318
percussion,4.94775390625
plumber,4.947998045892062
stucco,4.948211669921875
candy,4.948228366219919
delightful,4.948418778712902
randy,4.949143990757505
chevron,4.949231415987015
cupcake,4.949395002467636
richness,4.9499756847590195
exemplary,4.950036391497292
tribute,4.95022614352443
dust,4.950763426363292
resource,4.951150169947503
keepsake,4.951171875
ann,4.9515985986544
east,4.9518826084921885
dire,4.952004914449037
racing,4.95229908823967
hairdresser,4.952327725187934
scalp,4.952391785470551
assess,4.952501071782649
welcome,4.952592709962088
gem,4.952758070023264
molten,4.952794928305246
lech,4.95283445326808
incredible,4.952937480059283
intuitive,4.952941708266735
salon,4.9531240677814585
coma,4.953340648533169
mobster,4.953500747680664
official,4.954521601961842
naughty,4.955066693479743
shimmer,4.955078125
applause,4.955652713775635
steward,4.955839157104492
joey,4.955884323077379
jar,4.9560380753160365
hysterically,4.9560546875
blend,4.956710579626337
kennel,4.956720509520446
great,4.9569079552375115
wellness,4.957015739742914
bumper,4.957614465122715
recognition,4.957989533076971
preschool,4.9588470458984375
groggy,4.958984375
grill,4.9593992973166205
thoroughness,4.95947265625
overbear,4.959735257708628
gym,4.959798670246038
sola,4.9599609375
autumn,4.960243330337107
eddy,4.960670471191406
tantalize,4.960684779977328
yuca,4.96074914932251
rob,4.960923761102902
saki,4.961074231358447
sal,4.961094290018082
conscious,4.961116738260432
sung,4.961181640625
smile,4.961608690330328
theater,4.962213693877246
face,4.962432185183087
artist,4.962721563698291
oak,4.963234496931701
brewer,4.963343419001242
guilty,4.963351481069278
demonstration,4.963707387447357
cannery,4.964149817824364
paced,4.964532375335693
appliance,4.964625924426615
extraction,4.964815980754793
era,4.96512146466895
spoken,4.965143918991089
morel,4.965505013795337
amy,4.965762588198228
art,4.965819414064692
burgh,4.96596197262055
coil,4.966156005859375
solar,4.96616405248642
transport,4.966214891283954
heal,4.966796457417239
accomplished,4.966796875
tanner,4.966796875
boxing,4.967001228316754
chart,4.967149107642258
able,4.9671606906266605
chiropractor,4.96752834040648
healing,4.967648029327393
masseuse,4.967712386138024
gentle,4.96776576073875
roofing,4.9677734375
tour,4.967895022314872
beyond,4.96821257469787
encouragement,4.968383505940437
infectious,4.9684906005859375
souffle,4.968536836108351
motivate,4.968624055367392
exhilarate,4.96875
chemistry,4.968944549560547
explode,4.970202464281234
favorite,4.971740662050818
petal,4.971844736952335
painkiller,4.9720458984375
educational,4.972125914632267
zombie,4.972295479074971
creole,4.972303847206077
eloquent,4.97265625
vintage,4.973101587733347
sincerely,4.9734875931049665
tackle,4.973885637181411
gabby,4.97412109375
superb,4.974470688799013
opener,4.974520261324625
raja,4.974609375
cyclist,4.974721882492304
printing,4.974899243283039
pop,4.975071955459286
violin,4.97515869140625
dresser,4.975280137722804
conversationalist,4.97528076171875
exciting,4.97540421341881
roomy,4.975527169568435
gluten,4.975537512981079
erika,4.9755859375
henna,4.9755859375
ta,4.976155394014622
affectionately,4.976318359375
amazingly,4.976523905992198
hookah,4.97654150967376
evening,4.976725896339044
arc,4.976806640625
ambience,4.9779984775716475
fluff,4.978294418404103
thorn,4.978515625
jazzy,4.978973925113678
larry,4.979147389127062
awesomeness,4.979243039539481
sophisticated,4.979459244534244
rodney,4.97998046875
lover,4.9800919458135064
new,4.980338187706089
technique,4.980342175788101
unparalleled,4.980407393770292
groomer,4.98043804400087
enrich,4.98046875
transcendent,4.980865478515625
yarn,4.981128066778183
glowing,4.981276284370303
tara,4.981297948863357
roaster,4.9814037810060245
dune,4.9814453125
peaceful,4.981795072376366
proficient,4.981880187988281
reassuring,4.98193359375
seamlessly,4.981959015596658
rival,4.982050141783276
e,4.982121713033439
marc,4.982155750494378
facial,4.982192977745945
bridesmaid,4.982260412418186
trailer,4.98295876229294
cease,4.982976580147806
centerpiece,4.983121748231497
addicted,4.983337163925171
lifting,4.9833984375
rejuvenate,4.983838319778442
distance,4.983959114042786
thorough,4.9841306134473475
husky,4.984130859375
sensory,4.984152999473736
fabulous,4.984283409021742
dude,4.984292465817067
strengthen,4.984340667724609
birthday,4.984352004628958
consultation,4.98436537373293
sensual,4.986176343227271
bright,4.98670524729748
perfectionist,4.9873046795834455
ovation,4.987631738185883
intricate,4.987666895308038
regularly,4.987714332023834
relaxed,4.987787211248216
create,4.9880172615943605
surpass,4.989000429627763
injection,4.9890360832214355
weekend,4.989555455259936
electric,4.989654693619274
professional,4.989866256686125
hangout,4.989973419631392
referral,4.990112296896135
nougat,4.990234375
nancy,4.990249603170714
recline,4.990537700881825
lifesaver,4.9908960638567805
euphoric,4.990936279296875
sinfully,4.991081352889857
contagious,4.9911041259765625
delectable,4.991207350944283
utmost,4.9916682456769195
jake,4.991697026081496
powerful,4.991770929759174
meet,4.9918203043404255
kit,4.9919332846844044
kat,4.9919689181115245
inspiring,4.991986836747856
everyday,4.992004256207105
veterinary,4.9920633267611265
aroma,4.992470347990431
easygoing,4.992706298828125
scallop,4.9927314754849235
pampered,4.992961393669248
reward,4.993025383347388
travis,4.993075159829459
seth,4.99334716796875
exquisite,4.9935123904128105
wholesale,4.993809700012207
spinal,4.993896484375
flawlessly,4.993934492464177
ville,4.994023750892396
mobility,4.99407958984375
simulator,4.994140625
charisma,4.994140625
guru,4.994305363213613
decorate,4.994610007114018
choreograph,4.994720458984375
miraculous,4.9951171875
successfully,4.9953817346252976
destiny,4.995530128479004
cantaloupe,4.995718888504829
communicator,4.9957275390625
relive,4.995803077395559
super,4.9958138162448655
entertainer,4.995822063540963
kebab,4.995902863712233
vet,4.995955330516146
nick,4.995959984078502
realtor,4.996070342646817
smog,4.996074371854775
waxing,4.996083969007557
stylist,4.996086090802237
event,4.996093298763264
definite,4.996487690245414
boudoir,4.99658203125
consummate,4.996826171875
groovy,4.9973899610340595
beth,4.997663497924805
kyle,4.997802344582851
concoct,4.99781081713445
paco,4.997888565063477
physique,4.998046875
ariel,4.998046875
colorist,4.998492240905762
praise,4.998500455995005
skilled,4.998532035385323
indulgent,4.9986504964435845
sculpt,4.998748779296875
delicious,4.998771473430236
unforgettable,4.998878236211539
deliciously,4.998888584245574
waxer,4.999015808105469
acupuncture,4.9990234375
unwind,4.999173660677726
spray,4.99920266214566
album,4.999249067097345
flawless,4.999370394572884
shavery,4.99951171875
tammy,4.999571198590274
prefect,4.999601837596856
mommy,4.999625939827074
encouraging,4.999627350887749
fantastic,4.999694582074643
sublime,4.999710053193664
battery,4.999719529898129
knowledgeable,4.999753944281109
supplement,4.9998393580170095
vapor,4.9998701037839055
lori,4.999936759471893
teaching,4.9999463856220245
airbrush,4.999977946281433
mechanic,4.999984705063858
highly,4.999992370605466
elite,4.999995512523124
hair,4.999997121627518
haircut,4.999998911862342
compassionate,4.999999994400621
snapdragon,5.0
anger,1.0001179428220701
incompetence,1.0043182746263892
refund,1.006534585776539
rotten,1.0080949230764142
poisoning,1.0112970696101944
violently,1.024688720703125
false,1.029859378663546
scum,1.0301437377929688
carelessness,1.03125
riddance,1.0343017578125
disrespectful,1.034790055945538
reschedule,1.0357075715219382
displeasure,1.0391351506114006
discrimination,1.040435791015625
ignore,1.0615967374594808
unprofessionalism,1.0625
threaten,1.0626373610723063
defensive,1.0650333015679512
uncaring,1.0659522986752563
unpaid,1.068359375
ridiculous,1.0688189654404292
livid,1.0704424559953623
condescending,1.0708722566343205
scummy,1.0712890625
supervisor,1.0742280595298466
careless,1.0745971887863568
unfriendly,1.074991734521909
jackass,1.0764494389295578
disrespect,1.0784020924571873
uncalled,1.078818440437317
harassment,1.079345703125
bureau,1.0822546780109406
infuriate,1.0851287841796875
dismal,1.08592162573709
salesman,1.0933713096543627
chubby,1.0942208915948868
accuse,1.095729891270488
undesirable,1.0967254638671875
confirmation,1.1015789179925783
overprice,1.1078638742602671
unresponsive,1.1108163595199585
vomit,1.1115122480170108
refusal,1.121337890625
prison,1.1215168005774103
chalky,1.1221375465393066
contempt,1.12225341796875
murky,1.1262304782867432
worst,1.1269989463409047
incompetent,1.1284266125140232
compensation,1.1291809142679778
bedbug,1.129638671875
blankly,1.1321051120758057
audacity,1.133133311436843
congeal,1.1396130062639713
renew,1.1400116497966541
overcharge,1.1428508279292668
insult,1.1460266172770999
refuse,1.1485711272473977
projectile,1.162109375
housekeeping,1.1656544129833706
catastrophe,1.166015625
horrendous,1.1661712696684974
abruptly,1.1671142578125
emergency,1.1675364271738622
protest,1.1723141841357574
hazard,1.1741980448345994
inaccurate,1.1753251254558563
sympathy,1.1788751818239689
um,1.1856533637259927
methinks,1.185794771881774
uneatable,1.186126708984375
dishwater,1.189208984375
horrible,1.1895765384005448
smirk,1.1896221830975264
asylum,1.190826416015625
offense,1.1967728401418558
bellman,1.2026948653294767
unwashed,1.20703125
correspondence,1.20703125
reheat,1.210637565643244
feces,1.2125017642974854
remake,1.2144713409778114
disable,1.21514892578125
entitle,1.2204678759943195
solicit,1.2220995426177979
reprimand,1.224015235900879
insincere,1.2275390625
choke,1.2300172635367157
policy,1.2308469438068719
cocky,1.2317240927368402
less,1.2335661276560321
diameter,1.2392068265471607
activate,1.2398176342248917
scathing,1.24609375
unusable,1.2462234497070312
arrogant,1.2472462601749692
authorization,1.25
unethical,1.2500039348378778
erase,1.256093312986195
torture,1.256159484693239
defective,1.2572372723661829
money,1.258498201788473
appalling,1.2587738037109375
bogus,1.258896719101358
recourse,1.259765625
crook,1.266750269266625
inexcusable,1.267593463447156
cockroach,1.267701837703526
contaminate,1.2713851928710938
nastiness,1.277557373046875
thirdly,1.2784366607666016
lift,1.2852470704609376
disgusting,1.2857020480756998
aggravate,1.2860228791723785
respond,1.2871692343466163
ghetto,1.295862773141703
hastily,1.2998743057250977
roach,1.301428213092584
restart,1.3037109375
discretion,1.3050000667572021
socket,1.31005859375
inconvenience,1.3127035551095196
flu,1.3133211986340847
unedible,1.31353759765625
turd,1.3140363693237305
comical,1.315127555208031
authorize,1.3156292929779738
mortify,1.3187596797943115
apathy,1.3199462890625
wage,1.3206149909710836
hateful,1.321624755859375
callous,1.3228073120117188
abomination,1.3241691589355469
junk,1.326826983550612
cattle,1.3270842319336185
measuring,1.327392578125
respectfully,1.3276958465576172
representative,1.3327967380314658
whoever,1.3333330481497196
package,1.3350217316243826
oversold,1.34375
lever,1.3443603515625
retrain,1.3443667888641357
complicate,1.3461259213707724
decline,1.3478191471643948
disruptive,1.34912109375
position,1.353841536929474
reckless,1.3564453125
sloppily,1.3599395751953125
misunderstand,1.3619935512542725
absurd,1.3696350541995437
slutty,1.3724088668823242
record,1.3739061283101612
doorbell,1.37469482421875
condescend,1.3762074206119954
violate,1.3771411114214516
improperly,1.3783053196966648
unprofessionally,1.380859375
terrible,1.3809375779266344
disgraceful,1.384765625
chaotic,1.385183340936376
presidential,1.3853071965277195
essentially,1.3858810876197794
promise,1.3876098829417334
till,1.3912144520739855
bathtub,1.393833507733817
unexciting,1.39453125
burro,1.4006846243408264
response,1.4020390605276385
unworthy,1.408203125
hack,1.408408252915251
rename,1.4085452385784656
pyramid,1.4100546292129805
wilt,1.4109913041974513
disorganize,1.4128029866250464
blood,1.4132171402869385
hindsight,1.4149505832440636
reconcile,1.416015625
run,1.4176956046754552
fecal,1.41796875
stood,1.4202307733773003
grime,1.4202794889160941
voucher,1.4223850104362872
furthermore,1.4227853277364506
associate,1.4229730804671963
baseboard,1.4249267578125
reappear,1.4253137111663818
justification,1.4267578125
watery,1.429029142115706
falsely,1.43310546875
screaming,1.4373221744257627
sarcastic,1.4387630790768238
belittle,1.4429244995117188
desperation,1.4447414800524712
memo,1.4455671906471252
douche,1.4460756980401093
abnormal,1.44775390625
optimum,1.451416015625
construction,1.4529473434399018
hallway,1.4531492497888738
disgrace,1.4534312030955334
overflow,1.4536473740873972
invest,1.4549608427672156
disaster,1.4556508933221604
slime,1.4576416015625
unfairly,1.458984375
eon,1.459228515625
disturbed,1.4599609375
ought,1.4615460854940632
shiver,1.4702301025390625
shocking,1.4714583214372396
blatant,1.4715624004602432
maid,1.4721331845322088
inability,1.472205475869714
disappointing,1.4769512287078457
urine,1.4774523560296995
contract,1.4791002319073523
grader,1.482147216796875
confrontation,1.4833984375
violation,1.4848737936451362
altercation,1.4868011474609375
chipped,1.4888005554676056
shrivel,1.4898070693016052
racial,1.490234375
florist,1.4906126740041914
gracefully,1.4919808506965637
retarded,1.49365234375
whole,1.4943136716237346
coffin,1.4946975708007812
eh,1.4994223961234123
fraud,1.501060605897237
deplorable,1.504308968782425
sad,1.5061486046612456
video,1.5067819797920212
flashlight,1.5074077829083663
entirely,1.5074446334956753
dispute,1.5075866361180756
rip,1.5083944440641024
sting,1.509274192491559
billing,1.5104123264222207
uneaten,1.5148387267472572
stank,1.51776123046875
mysteriously,1.5183500200510025
extreme,1.5187346807624464
impatiently,1.5213165283203125
virtually,1.5232054211199924
rind,1.5249605680583045
demerit,1.52734375
brownish,1.52789306640625
traumatize,1.5297168232500553
haggard,1.53076171875
serum,1.5320632457733154
salmonella,1.532318115234375
assure,1.5340044818245433
agony,1.5341796875
disturbingly,1.53515625
bluntly,1.53515625
sorry,1.535760288478361
pus,1.537109375
management,1.537266062271173
disgust,1.5373535868765846
immature,1.537610954605043
trashy,1.5402194618846812
wrongly,1.540283203125
inept,1.5470996588774142
unacceptable,1.5472145533941912
piss,1.548362897960568
basic,1.54860117919553
deteriorate,1.5494554042816162
theft,1.5496343721309813
severely,1.549875260763445
moot,1.55078125
horrendously,1.5509033203125
cell,1.5516981693089267
sickness,1.5520243123173714
inattentive,1.5536406033164079
particle,1.55596923828125
circulation,1.5590295791625977
plaster,1.560417403645633
lifeless,1.5619561802013777
furious,1.5644817362995151
awful,1.566898827570877
stunk,1.5669352412223816
supposedly,1.5674401499977422
glue,1.5694177568638934
argumentative,1.57080078125
hooker,1.5708235715959549
explanation,1.5716420122293355
disorganization,1.5719490051269531
luck,1.5720051901637098
disarray,1.572265625
disgusted,1.5722986609089844
musty,1.5725585852008344
lien,1.574462890625
bladder,1.5762041509151459
government,1.5762706682286272
repeatedly,1.5788386194205857
infect,1.5788955688476562
confused,1.579701380615807
liability,1.5801797835192701
heartache,1.5810546875
existent,1.5813581633688698
suppose,1.5816751375134488
spay,1.5819368362426758
commotion,1.5823020935058594
stare,1.5827178112201619
dissatisfied,1.5836225023685984
retirement,1.5845682870875635
dishwasher,1.585376338506953
horrifically,1.5859375
harass,1.587199659590938
angst,1.587890625
lumpy,1.5902501628625032
untouched,1.593681769159962
snide,1.5982260704040527
loco,1.5985454027831494
disgruntle,1.598836898803711
nonchalant,1.5998916625976562
cancel,1.6008072207154915
hostile,1.6016679533349816
cord,1.6036954655445244
evil,1.605346178267473
bloat,1.6067420057370327
clump,1.6070560232780988
century,1.6074643337794712
parch,1.6085567474365234
laurel,1.6101856231689453
losing,1.611541748046875
usage,1.6140107887849409
puddle,1.6145882682946904
error,1.6164694524245586
complete,1.6183689036839628
unapologetic,1.6189311569632991
due,1.6208794038268828
dusty,1.6210435812532913
banker,1.6222198568284512
bedside,1.6232386504687817
drill,1.6243370273614177
disbelief,1.6243654983255207
dishonest,1.6250005528009164
reimburse,1.6253593240717237
sham,1.625513643026352
rampant,1.62744140625
swab,1.630859375
retard,1.6314481362808237
consent,1.6315126419067383
understand,1.6315423743630553
hurriedly,1.634765625
fumble,1.6361430287361145
unwilling,1.6372017890774422
discontinue,1.637570724194077
gallon,1.6392564444729756
trash,1.6393380574935978
deceiving,1.64031982421875
thief,1.641117396095787
transient,1.641693115234375
transfer,1.642371202590228
quarter,1.6427166654692362
scuff,1.643223762512207
sawdust,1.6442718505859375
ridden,1.64501953125
unseasoned,1.645938903051558
infection,1.6486209682317126
cuss,1.648704967345111
unidentifiable,1.6488914489746094
overcook,1.6495375067386147
muddy,1.6500120162963867
gaggle,1.6506195068359375
grip,1.6521133382182276
offended,1.652313232421875
unfold,1.6526222229003906
barrio,1.6535865404983934
slur,1.6536026000976562
sync,1.6538136289411476
duke,1.6542869986399975
rudely,1.6549139432609774
laziness,1.654984762892127
secondly,1.6552403613255855
bait,1.6554589292661448
uninterested,1.6565648395235575
teaspoon,1.657262645661831
shame,1.6596148878620578
flick,1.659959717238126
deposit,1.6602687624367078
tablespoon,1.6615098163493087
occupancy,1.6624603271484375
haphazard,1.6627349853515625
unmelted,1.6640625
ungrateful,1.6646728515625
moldy,1.6662446749293243
six,1.667660393112929
tamale,1.6693869352361521
replay,1.670109510421753
pap,1.6710205078125
ordered,1.6712738739501733
nary,1.6717910766601562
sleep,1.672882913970579
household,1.674485868971684
yah,1.6745108621940261
logical,1.6752517223358154
refrain,1.6752888281973277
diabetic,1.6752989204399236
assumption,1.6754392635862025
scant,1.6775832772254944
shaping,1.677734375
kettle,1.6780242944767882
irk,1.6786846174079393
lesser,1.6796875
drainage,1.67987060546875
dissect,1.681640625
cautious,1.6830024909422674
lukewarm,1.6832593483631155
dignity,1.6855963785201311
remark,1.686223832184923
canyon,1.6865994305817813
clan,1.6875
sinew,1.6875
disclose,1.6892555086669745
formally,1.690032958984375
notification,1.6906943321228027
horrid,1.6918247915200582
disturbing,1.694607138633728
dispatcher,1.6958694458007812
blatantly,1.6959294841282215
honor,1.6963056561956584
leathery,1.697265625
poorly,1.7007699917463206
allergen,1.7015380859375
observe,1.7016234693384538
acceptance,1.701904296875
liar,1.7032852173854336
hurried,1.70556640625
gross,1.7056170424928991
depressed,1.7064680271432735
rung,1.70703125
serial,1.7076416015625
nurse,1.7078167234022532
correctly,1.7080122918811496
prescribe,1.7089531976642283
acceptable,1.7096807680350667
unsavory,1.711181640625
lying,1.7115478515625
doubtful,1.7196578504517674
abuse,1.7211535509171147
slave,1.7217894792556763
taxi,1.7224926140452061
deem,1.7229290172957268
stated,1.72314453125
unsuspecting,1.7236613593995571
unwelcome,1.7239373830267368
dismissive,1.724651575088501
collar,1.7256220837451557
payment,1.7267883285478967
gas,1.7279042784900254
insinuate,1.728515625
misery,1.7288818359375
dingy,1.7316885715423667
disgustingly,1.7318650548778294
prescription,1.7320551150077832
edit,1.7332529475856735
freaky,1.7343315875347116
throttle,1.734375
receiver,1.734375
metric,1.735107421875
hell,1.7373301259367713
contest,1.737647910852239
stone,1.7406792310832162
auction,1.7415428508538753
flooring,1.7430235005845334
cutting,1.7447936988552328
pointer,1.7455302784219384
similar,1.7488748429031054
chug,1.749387296722034
blah,1.7501171049270194
surrounding,1.7541676044133965
plea,1.75439453125
toothpick,1.7550281882286072
appropriate,1.7550871868828501
vacate,1.7554759979248047
antibiotic,1.7556557446704022
earshot,1.7559051513671875
charging,1.7578125
documentation,1.7587890625
lousy,1.75885111357616
greed,1.7596988677978516
pueblo,1.760009765625
tipper,1.7611889417075872
inedible,1.7627764947408862
low,1.762950381245518
incorrect,1.763045658781329
hostage,1.7639026641845703
admission,1.7657647203799636
pathetic,1.7665032638942662
grad,1.766529944869102
understanding,1.767202304443861
vend,1.767233727914634
deaf,1.7674760818481445
device,1.7689481560626223
tread,1.7698091730962915
poor,1.7710487035583296
